大类代码	大类名称	中类代码	中类名称	小类代码	小类名称	细类代码	细类名称	说明
1000000	基本生活保障物资	1110000	纺织产品	1110200	床上用织物制品	1110203	寝具及类似填充用品	包括棉被、羽绒被、毛巾被、枕头及各类睡袋等
1000000	基本生活保障物资	1110000	纺织产品	1110200	床上用织物制品	1110299	其他床上用织物制品	
1000000	基本生活保障物资	1110000	纺织产品	1110300	安全用织物制品	1110301	救生衣	
1000000	基本生活保障物资	1110000	纺织产品	1110300	安全用织物制品	1110399	其他安全用织物制品	
1000000	基本生活保障物资	1120000	救灾帐篷	1120100	单帐篷			包括8m2、12m2、36m2等不同尺寸单帐篷
1000000	基本生活保障物资	1120000	救灾帐篷	1120200	棉帐篷			包括8m2、12m2、36m2等不同尺寸棉帐篷
1000000	基本生活保障物资	1120000	救灾帐篷	1120300	高原 、高寒帐篷			
1000000	基本生活保障物资	1120000	救灾帐篷	1120400	厕所帐篷			
1000000	基本生活保障物资	1120000	救灾帐篷	1129900	其他材质帐篷			
1000000	基本生活保障物资	1130000	日用品	1130100	烹调和加热装置	1130101	烹饪炊具	
1000000	基本生活保障物资	1130000	日用品	1130100	烹调和加热装置	1130102	餐具	饭盒、盘子、碗、筷子、勺子、碟子、水杯等
1000000	基本生活保障物资	1130000	日用品	1130100	烹调和加热装置	1130199	其他烹调和加热装置	
1000000	基本生活保障物资	1130000	日用品	1130200	家用制冷电器具	1130201	冰箱(柜)	
1000000	基本生活保障物资	1130000	日用品	1130200	家用制冷电器具	1130299	其他家用制冷电器具	
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130301	电暖器	
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130302	电暖炉	包括取暖炉、油汀等
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130303	电热毯	
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130304	热水袋	
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130305	风扇	
1000000	基本生活保障物资	1130000	日用品	1130300	温度调节用品	1130399	其他温度调节用品	
1000000	基本生活保障物资	1130000	日用品	1130400	生活热水设备	1130401	电热水器	包括非饮用水及饮用水加热器具
1000000	基本生活保障物资	1130000	日用品	1130400	生活热水设备	1130402	保温桶	
1000000	基本生活保障物资	1130000	日用品	1130400	生活热水设备	1130403	保温水壶	
1000000	基本生活保障物资	1130000	日用品	1130400	生活热水设备	1130499	其他生活热水设备	
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130501	折叠床	
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130502	气垫床	
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130503	木板床	包括床板等
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130504	婴儿床	包括婴儿围栏及其附件
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130505	婴儿保温箱	
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130506	病床	
1000000	基本生活保障物资	1130000	日用品	1130500	简易床	1130599	其他简易床	
1000000	基本生活保障物资	1130000	日用品	1130600	储水用具			包括脸盆、水桶、水袋、贮水罐等各类临时/固定用途储水用具
1000000	基本生活保障物资	1130000	日用品	1130700	雨具			包括雨伞、雨衣、雨鞋等各类雨具
1000000	基本生活保障物资	1130000	日用品	1130800	卫生清洁用品	1130801	个人卫生清洁用品	包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品
1000000	基本生活保障物资	1130000	日用品	1130800	卫生清洁用品	1130802	妇女卫生用品	包括卫生巾、卫生棉条等妇女卫生用品
1000000	基本生活保障物资	1130000	日用品	1130800	卫生清洁用品	1130803	简易淋浴设备	
1000000	基本生活保障物资	1130000	日用品	1130800	卫生清洁用品	1130899	其他卫生清洁用品	
1000000	基本生活保障物资	1130000	日用品	1130900	桌椅			包括折叠及非折叠式桌椅
1000000	基本生活保障物资	1130000	日用品	1131000	缝纫材料及用品	1131001	剪刀	不包括理发剪刀、指甲剪等
1000000	基本生活保障物资	1130000	日用品	1131000	缝纫材料及用品	1131002	针线包	
1000000	基本生活保障物资	1130000	日用品	1131000	缝纫材料及用品	1131003	棉布	
1000000	基本生活保障物资	1130000	日用品	1131000	缝纫材料及用品	1131099	其他缝纫材料及用品	
1000000	基本生活保障物资	1130000	日用品	1131100	废弃物清扫及收集工具	1131101	清扫工具	包括笤帚、簸箕、拖布等
1000000	基本生活保障物资	1130000	日用品	1131100	废弃物清扫及收集工具	1131102	废弃物容器	包括垃圾箱、垃圾桶、垃圾袋等
1000000	基本生活保障物资	1130000	日用品	1131100	废弃物清扫及收集工具	1131199	其他废弃物清扫及收集工具	
1000000	基本生活保障物资	1130000	日用品	1131200	防蚊虫用品	1131201	蚊帐	
1000000	基本生活保障物资	1130000	日用品	1131200	防蚊虫用品	1131202	驱蚊剂	
1000000	基本生活保障物资	1130000	日用品	1131200	防蚊虫用品	1131299	其他防蚊虫用品	
1000000	基本生活保障物资	1130000	日用品	1131300	多功能刀具			
1000000	基本生活保障物资	1130000	日用品	1131400	救生包			包括雨衣、手电筒、应急食品等救生用品
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131501	奶瓶	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131502	纸尿裤/尿布	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131503	湿巾	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131504	清洁棉	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131505	爽身粉	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131506	婴儿背带	
1000000	基本生活保障物资	1130000	日用品	1131500	婴幼儿用品	1131599	其他	
1000000	基本生活保障物资	1140000	简易厕所	1140100	移动式简易厕所			
1000000	基本生活保障物资	1140000	简易厕所	1140200	固定式简易厕所			
1000000	基本生活保障物资	1140000	简易厕所	1149900	其他简易厕所			
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010101	正压式呼吸器	"包括正压式空气/氧气呼吸器,含配件,全面罩/半面罩"
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010102	负压式呼吸器	"包括负压式空气/氧气呼吸器,配件,含配件,全面罩/半面罩"
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010103	生氧面具	包括配件
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010104	长管呼吸器	包括配件
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010105	送风过滤式呼吸器	"包括配件,全面罩和送气头罩/半面罩/开放型面罩"
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010106	自吸过滤式防毒面具	"包括配件,全面罩/半面罩"
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010107	自救呼吸器	包括随弃式/可更换式
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010108	水下呼吸器	
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010109	防尘口罩	包括消防用自救呼吸器、煤矿用自救呼吸器等及配件
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010110	医用防护口罩	包括潜水供气系统、舱用吸氧面具等
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010111	呼吸器检测仪	包括配件
2000000	应急装备及配套物资	2010000	个人防护装备	2010100	呼吸防护装备	2010199	其他呼吸防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010201	全密封(封闭)防护服	包括气密型防护服和液密型防护服
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010202	化学品防护服	包括防强酸/强碱服、防化围裙等
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010203	放射性防护服	包括核辐射防护服、辐射屏蔽背心、X射线防护服等
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010204	阻燃防护服	包括阻燃内衣、阻燃毛衣、阻燃马甲、阻燃围裙等
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010205	热防护服	包括换热冷却服、灭火防护服、隔热服、避火服、降温马甲
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010206	防爆服	包括排爆工具马甲
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010207	防静电服	包括防静电内衣
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010208	警用防暴服	
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010209	带电作业防护服	包括电绝缘服、带电作业屏蔽服、防电弧服等
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010210	潜水服	包括干式、湿式、潜水水暖服、冷水/热水潜水服、成套潜水装具
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010211	防水服	以防水橡胶涂覆织物为面料防御水透过和漏入
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010212	防寒服	包括保暖马甲
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010213	医用防护服	包括一次性防护服
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010214	抢险救援服	
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010215	关节防护护具	包括腰部、手腕、膝盖、肘部、胫部、肩部护具
2000000	应急装备及配套物资	2010000	个人防护装备	2010200	躯体防护装备	2010299	其他躯体防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010300	头部防护装备	2010301	安全帽	包括矿用安全帽、绝缘安全帽、近电报警安全帽等
2000000	应急装备及配套物资	2010000	个人防护装备	2010300	头部防护装备	2010302	防护头盔	包括抢险救援头盔、防化头盔、消防头盔、警用防爆(暴)头盔等
2000000	应急装备及配套物资	2010000	个人防护装备	2010300	头部防护装备	2010303	防寒帽	
2000000	应急装备及配套物资	2010000	个人防护装备	2010300	头部防护装备	2010304	兜帽/头罩类	包括阻燃头套、火灾逃生头套、医用头套、防砂帽、防灾兜帽、一次性帽子、液密防化兜帽、核污染防护服通风头罩等
2000000	应急装备及配套物资	2010000	个人防护装备	2010300	头部防护装备	2010399	其他头部防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010400	眼面部防护装备	2010401	护目镜	包括防水、防冲击、防放射性、防腐蚀液、防激光类
2000000	应急装备及配套物资	2010000	个人防护装备	2010400	眼面部防护装备	2010402	防护面罩	包括焊接面罩
2000000	应急装备及配套物资	2010000	个人防护装备	2010400	眼面部防护装备	2010499	其他眼面部防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010500	耳部防护装备	2010501	护耳套	包括可丢弃/可重复使用/成型/预成型/头带式/通用型
2000000	应急装备及配套物资	2010000	个人防护装备	2010500	耳部防护装备	2010502	耳罩	包括头带式/脑后式/颈顶式/通用型
2000000	应急装备及配套物资	2010000	个人防护装备	2010500	耳部防护装备	2010599	其他耳部防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010601	防高温手套	包括隔热手套及套袖
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010602	防化手套	包括耐酸碱手套、耐油手套及套袖
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010603	防放射性手套	包括套袖
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010604	防爆手套	包括套袖
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010605	绝缘手套	包括高压绝缘手套、低压绝缘手套、套袖
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010606	潜水手套	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010607	防寒手套	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010608	焊接手套	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010609	防机械伤害手套	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010610	防昆虫手套	
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010611	消防手套	含消防手套
2000000	应急装备及配套物资	2010000	个人防护装备	2010600	手部防护装备	2010699	其他手部防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010701	防水靴	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010702	危险材料防护鞋	含防化学品鞋、防(耐)酸碱鞋、防(耐)油鞋
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010703	阻燃鞋类	含灭火防护靴、隔热靴、隔热鞋罩、护脚阻燃袜
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010704	防滑鞋	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010705	电绝缘鞋(靴)	含绝缘防护鞋、绝缘鞋套
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010706	潜水鞋	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010707	防寒鞋	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010708	导电鞋	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010709	防静电鞋	
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010710	防砸防刺穿鞋	含防砸脚套
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010711	抢险救援靴	含消防靴
2000000	应急装备及配套物资	2010000	个人防护装备	2010700	足部防护装备	2010799	其他足部防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010801	安全带	包括安全腰带、安全吊带
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010802	安全网	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010803	安全钩	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010804	上升器	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010805	抓绳器	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010806	下降器	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010807	安全绳	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010808	滑轮装置	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010809	便携式固定装置	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010810	防坠系统套装	
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010811	水平作业系统	钢缆张力调节器及钢缆固定套
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010812	爬梯保护系统套件	"顶端支架,底端支架,钢缆调节器,钢缆导轨,中间钢缆支撑,电镀钢缆"
2000000	应急装备及配套物资	2010000	个人防护装备	2010800	坠落防护装备	2010899	其他坠落防护装备	
2000000	应急装备及配套物资	2010000	个人防护装备	2010900	个人防护套件装备			
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020101	音/视频生命探测仪	
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020102	雷达生命探测仪	
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020103	光学生命探测仪	
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020104	敏锐气体生命探测仪	
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020105	红外热成像生命探测仪	
2000000	应急装备及配套物资	2020000	搜救设备	2020100	生命探测设备	2020199	其他	
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020201	手动破拆工具	包括橇釜、撞门器、消防腰斧等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020202	电动破拆工具	包括电动剪切钳、电锯、电钻、电焊机、钢筋速断器、玻璃破碎器、等离子切割器等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020203	机动破拆工具	包括机动锯、机动镐、开槽机等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020204	液压破拆工具	包括液压剪切钳、液压万向剪切钳、液压多功能钳、液压扩张器、液压顶杆、螺母破碎器、法兰分离器等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020205	气动破拆工具	包括气动切割刀、气动镐、气动钻机、风铲、气动锯等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020206	弹能破拆工具	包括毁锁枪、双动力撞门器、子弹钳等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020207	爆破器材	包括炸药、爆破药包、雷管、导火索、引爆装置、爆破筒、起爆器等
2000000	应急装备及配套物资	2020000	搜救设备	2020200	破拆工具	2020299	其他破拆工具	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020301	应急救生舱	包括充气式
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020302	救援三脚架	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020303	抛投装置	包括救生抛投器、射绳枪、抛绳器、锚钩发射器等
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020304	救生缓降器	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020305	救生气垫	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020306	应急逃生器	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020307	火灾逃生管	
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020308	救生吊具	包括救援座椅、运载吊篮系统、提升吊索、吊带
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020309	救援梯	包括拉伸梯、挂钩梯、折叠梯、软梯、充气滑梯及单杠梯等
2000000	应急装备及配套物资	2020000	搜救设备	2020300	降落与登乘/登高设备	2020399	其他降落与登乘/登高设备	
2000000	应急装备及配套物资	2020000	搜救设备	2020400	救捞设备	2020401	潜水减压舱	
2000000	应急装备及配套物资	2020000	搜救设备	2020400	救捞设备	2020402	救生浮具类	"能支持额定人员在水中漂浮,且在结构上能保持形状和性能的救生设备,包括移动救援码头、救生浮台、救援浮桥等"
2000000	应急装备及配套物资	2020000	搜救设备	2020400	救捞设备	2020499	其他救捞设备	包括保温毯等
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030101	伤员鉴别标签	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030102	急救背囊(箱)	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030103	复苏背囊(箱)	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030104	输注药供背囊	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030105	心脏除颤器	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030106	头部固定器	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030107	便携式氧气和复苏箱	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030108	患者运送装备和用品	包括各种担架、固定气囊等
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030109	止血器和螺丝钳	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030100	医疗携行急救设备	2030199	其他医疗携行急救设备	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030201	基础外科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030202	微小 、精密和整形外科器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030203	神经手术和脊髓麻醉工具	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030204	眼科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030205	耳鼻喉科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030206	口腔科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030207	心血管和胸外科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030208	剖腹手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030209	矫形(骨科)外科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030210	儿科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030211	妇产科手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030212	注射穿刺器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030213	开颅手术器械组件	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030214	气管切开手术器械	
2000000	应急装备及配套物资	2030000	医疗及防疫设备及常用应急药品	2030200	手术器械	2030299	其他手术器械	
