GBTCode	GBTCategoryText	GPCCode	GPCCategoryText
1050100	基本生活保障物资；禽蛋；鸡蛋；	10006210	食品、饮料；牛奶、黄油、奶油、酸奶、奶酪、鸡蛋或替代品；鸡蛋或鸡蛋替代品；带壳食用鸡蛋；
1050100	基本生活保障物资；禽蛋；鸡蛋；	10006211	食品、饮料；牛奶、黄油、奶油、酸奶、奶酪、鸡蛋或替代品；鸡蛋或鸡蛋替代品；单独烹煮的鸡蛋；
1079900	基本生活保障物资；食用油；其他食用油；	10000609	食品、饮料；食用油、脂肪；食用油或食用脂肪组合装；食用油、食用脂肪组合装；
1080101	基本生活保障物资；食糖；成品糖；白砂糖；	10000043	食品、饮料；甜食和甜味产品；糖、代糖产品；糖、代糖（耐储存）；
1080201	基本生活保障物资；食糖；加工糖；冰糖；	10000603	食品、饮料；甜食和甜味产品；糖、代糖产品；糖、代糖产品组合装；
1080203	基本生活保障物资；食糖；加工糖；糖浆；	10000044	食品、饮料；甜食和甜味产品；糖、代糖产品；糖浆、糖蜜、糖汁（耐储存）；
1100102	基本生活保障物资；加工食品；方便食品；速冻食品；包括速冻饺子、速冻包子、速冻馄饨、速冻馒头等；	10000301	食品、饮料；预制或腌制食品；面粉制品或餐食；非即食型咸味面粉制品、餐食（冷冻）；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000166	食品、饮料；面包和烘焙产品；饼干或曲奇饼；干面包（耐储存）；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000164	食品、饮料；面包和烘焙产品；面包；面包（易腐坏）；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000165	食品、饮料；面包和烘焙产品；面包；面包（耐储存）；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000598	食品、饮料；面包和烘焙产品；面包或烘焙产品组合装；面包、烘焙产品组合装；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000597	食品、饮料；面包和烘焙产品；甜味烘焙产品；甜面包组合装；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000163	食品、饮料；面包和烘焙产品；面包；面包（冷冻）；
1100103	基本生活保障物资；加工食品；方便食品；烘焙食品；面包、饼干等；	10000305	食品、饮料；面包和烘焙产品；饼干或曲奇饼；干面包（冷冻）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000240	食品、饮料；预制或腌制食品；意式面食或面条；即食型意大利面、面条（易腐坏）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000241	食品、饮料；预制或腌制食品；意式面食或面条；即食型意大利面、面条（耐储存）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000298	食品、饮料；预制或腌制食品；面粉制品或餐食；即食型咸味面粉制品、餐食（易腐坏）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000299	食品、饮料；预制或腌制食品；面粉制品或餐食；即食型咸味面粉制品、餐食（耐储存）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000289	食品、饮料；预制或腌制食品；蔬菜制品或餐食；即食型蔬菜制品、餐食（易腐坏）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000288	食品、饮料；预制或腌制食品；蔬菜制品或餐食；即食型蔬菜制品、餐食（耐储存）；
1100105	基本生活保障物资；加工食品；方便食品；即食食品；包括方便面、各类自热食品等；	10000284	食品、饮料；谷类、谷物和豆类产品；加工谷物产品；即食型谷物食品（耐储存）；
1100107	基本生活保障物资；加工食品；方便食品；罐头；包括肉类罐头、蔬菜罐头、水果罐头、粥类罐头等；	10000206	食品、饮料；预制或加工的水果、蔬菜、坚果和种子；预制或加工水果；预制、加工水果（耐储存）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10000178	食品、饮料；饮料；无酒精饮料-非即饮型；非即饮型巧克力、可可、麦乳精饮料；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10000310	食品、饮料；饮料；无酒精饮料-非即饮型；非即饮型乳制品（耐储存）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10006974	食品、饮料；饮料；无酒精饮料-非即饮型；乳代饮品-非即饮饮料（耐储存）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10000179	食品、饮料；饮料；无酒精饮料-即饮型；即饮型巧克力、可可、麦乳精饮料；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10000191	食品、饮料；饮料；无酒精饮料-即饮型；即饮型乳制品（易腐坏）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10000192	食品、饮料；饮料；无酒精饮料-即饮型；即饮型乳制品（耐储存）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10006972	食品、饮料；饮料；无酒精饮料-即饮型；乳代饮品-即饮饮料（易腐坏）；
1100201	基本生活保障物资；加工食品；乳制品；液体乳；	10006973	食品、饮料；饮料；无酒精饮料-即饮型；乳代饮品-即饮饮料（耐储存）；
1100401	基本生活保障物资；加工食品；饮料；饮用水；包括饮用天然水、纯净水及矿物质水等	10000232	食品、饮料；饮料；无酒精饮料-即饮型；水（瓶装、桶装等）；
1100402	基本生活保障物资；加工食品；饮料；电解质饮料；	10000265	食品、饮料；饮料；无酒精饮料-即饮型；即饮型运动饮料类补液；
1100502	基本生活保障物资；加工食品；水产加工品；干制水产品；包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等；	10000147	食品、饮料；鱼类和海产品；预制或加工水生无脊椎动物；预制或加工水生无脊椎动物（耐储存）；
1100502	基本生活保障物资；加工食品；水产加工品；干制水产品；包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等；	10000628	食品、饮料；鱼类和海产品；水生无脊椎动物、鱼类、贝类和海鲜组合；预制或加工水生无脊椎动物、鱼类、贝类、海鲜混合产品（耐储存）；
1100502	基本生活保障物资；加工食品；水产加工品；干制水产品；包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等；	10000153	食品、饮料；鱼类和海产品；预制或加工水生植物；预制或加工水生植物（耐储存）；
1100502	基本生活保障物资；加工食品；水产加工品；干制水产品；包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等；	10000018	食品、饮料；鱼类和海产品；预制或加工鱼类；预制或加工鱼类（耐储存）；
1100502	基本生活保障物资；加工食品；水产加工品；干制水产品；包括干制鱼、腌渍鱼、熏鱼、鱼糜(熟肉)制品及甲壳水产品加工品等；	10000258	食品、饮料；鱼类和海产品；预制或加工贝类；预制或加工贝类（耐储存）；
1110103	基本生活保障物资；纺织产品；服装类；手套；	10003707	服装；运动服；运动服；运动服-手套；
1110103	基本生活保障物资；纺织产品；服装类；手套；	10005894	服装；防护服；防护服；手套；
1110103	基本生活保障物资；纺织产品；服装类；手套；	10001395	服装；防护服；防护服；防护手套；
1110104	基本生活保障物资；纺织产品；服装类；围巾；	10001330	服装；服装；服装配饰；围巾、领带、领饰；
1110107	基本生活保障物资；纺织产品；服装类；婴儿服装；包括各类棉质、合成纤维质及毛制婴儿服装等；	10008243	服装；防护服；防护服；襁褓包毯、包裹布；
1110201	基本生活保障物资；纺织产品；床上用织物制品；床褥单；	10002227	家用或办公家具和陈设；家居用品、办公家具；家居用品、床上用品、办公家具；床单、帷幔；
1110203	基本生活保障物资；纺织产品；床上用织物制品；寝具及类似填充用品；包括棉被、羽绒被、毛巾被、枕头及各类睡袋等；	10002222	家用或办公家具和陈设；家居用品、办公家具；家居用品、床上用品、办公家具；羽绒被、被子；
1110203	基本生活保障物资；纺织产品；床上用织物制品；寝具及类似填充用品包括棉被、羽绒被、毛巾被、枕头及各类睡袋等；	10002225	家用或办公家具和陈设；家居用品、办公家具；家居用品、床上用品、办公家具；枕头；
1110203	基本生活保障物资；纺织产品；床上用织物制品；寝具及类似填充用品；包括棉被、羽绒被、毛巾被、枕头及各类睡袋等；	10002080	露营用品；露营用品；露营家具或陈设；睡袋；
1110203	基本生活保障物资；纺织产品；床上用织物制品；寝具及类似填充用品包括棉被、羽绒被、毛巾被、枕头及各类睡袋等；	10005472	安全、保护和监控用品；个人安全和保护用品；个人安全装置；应急救生毯、睡袋；
1110203	基本生活保障物资；纺织产品；床上用织物制品；寝具及类似填充用品；包括棉被、羽绒被、毛巾被、枕头及各类睡袋等；	10002219	家用或办公家具和陈设；家居用品、办公家具；家居用品、床上用品、办公家具；织物、纺织毛巾；
1110301	基本生活保障物资；纺织产品；安全用织物制品；救生衣；	10005389	安全、保护和监控用品；环境安全或保护用品；天气或自然灾害安全用品；救生圈、救生衣、救生服；
1120100	基本生活保障物资；救灾帐篷；单帐篷；包括8m2、12m2、36m2等不同尺寸单帐篷；	10002069	露营用品；露营用品；帐篷或防风雨构筑物；露营帐篷；
1120100	基本生活保障物资；救灾帐篷；单帐篷；包括8m2、12m2、36m2等不同尺寸单帐篷；	10002074	露营用品；露营用品；帐篷或防风雨构筑物；帐篷或防风雨构筑物产品组合装；
1120100	基本生活保障物资；救灾帐篷；单帐篷；包括8m2、12m2、36m2等不同尺寸单帐篷；	10002070	露营用品；露营用品；帐篷或防风雨构筑物；帐篷或防风雨构筑物扩建用品；
1120100	基本生活保障物资；救灾帐篷；单帐篷；包括8m2、12m2、36m2等不同尺寸单帐篷；	10003417	草坪和花园用品；草坪或花园用品；草坪或花园户外构筑物；活动帐篷、大帐篷；
1120200	基本生活保障物资；救灾帐篷；棉帐篷；包括8m2、12m2、36m2等不同尺寸棉帐篷；	10003417	草坪和花园用品；草坪或花园用品；草坪或花园户外构筑物；活动帐篷、大帐篷；
1120200	基本生活保障物资；救灾帐篷；棉帐篷；包括8m2、12m2、36m2等不同尺寸棉帐篷；	10002069	露营用品；露营用品；帐篷或防风雨构筑物；露营帐篷；
1120200	基本生活保障物资；救灾帐篷；棉帐篷；包括8m2、12m2、36m2等不同尺寸棉帐篷；	10002074	露营用品；露营用品；帐篷或防风雨构筑物；帐篷或防风雨构筑物产品组合装；
1120200	基本生活保障物资；救灾帐篷；棉帐篷；包括8m2、12m2、36m2等不同尺寸棉帐篷；	10002070	露营用品；露营用品；帐篷或防风雨构筑物；帐篷或防风雨构筑物扩建用品；
1129900	基本生活保障物资；救灾帐篷；其他材质帐篷；；	10002073	露营用品；露营用品；帐篷或防风雨构筑物；其他帐篷或防风雨构筑物；
1130101	基本生活保障物资；日用品；烹调和加热装置；烹饪炊具；	10000554	厨房用具和餐具；厨房用具；炊具或烘焙用具；炊具（一次性）；
1130101	基本生活保障物资；日用品；烹调和加热装置；烹饪炊具；	10005675	厨房用具和餐具；厨房用具；炊具或烘焙用具；炊具、烘焙用具附件及替换件；
1130101	基本生活保障物资；日用品；烹调和加热装置；烹饪炊具；	10002152	厨房用具和餐具；厨房用具；炊具或烘焙用具；其他炊具、烘焙用具；
1130101	基本生活保障物资；日用品；烹调和加热装置；烹饪炊具；	10002151	厨房用具和餐具；厨房用具；炊具或烘焙用具；厨房炊具、烘焙用具组合装；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002154	厨房用具和餐具；餐具；器皿类餐具（非一次性）；碗（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007242	厨房用具和餐具；餐具；器皿类餐具（非一次性）；器皿类餐具组合装；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10005427	厨房用具和餐具；餐具；器皿类餐具（非一次性）；蛋杯（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002153	厨房用具和餐具；餐具；器皿类餐具（非一次性）；盘子（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007245	厨房用具和餐具；餐具；饮具（非一次性）；调酒棒、鸡尾酒杯；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007249	厨房用具和餐具；餐具；饮具（非一次性）；啤酒杯；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002155	厨房用具和餐具；餐具；饮具（非一次性）；马克杯、杯子（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002158	厨房用具和餐具；餐具；饮具（非一次性）；服务用壶、水罐、玻璃水瓶；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007246	厨房用具和餐具；餐具；饮具（非一次性）；玻璃杯套装；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007243	厨房用具和餐具；餐具；饮具（非一次性）；高脚酒杯、高脚水杯、高脚香槟杯；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007244	厨房用具和餐具；餐具；饮具（非一次性）；平底玻璃杯；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007274	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；鱼、贝类、蜗牛刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007270	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；刀叉匙类餐具组合装（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007269	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；其他刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007273	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；服务、上菜用刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007275	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；开胃菜、甜点、奶酪用刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007272	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；餐桌通用刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007268	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；茶或咖啡刀叉匙类餐具（非一次性）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007271	厨房用具和餐具；餐具；刀叉匙类餐具（非一次性）；户外折叠刀；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007256	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；餐具架；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007259	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；深平盘；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007258	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；浅平盘；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002161	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；食品、饮料加热器、冷却器（无动力）；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007260	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；其他服务、上菜餐具；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10007257	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；服务、上菜餐具组合装；
1130102	基本生活保障物资；日用品；烹调和加热装置；餐具；饭盒、盘子、碗、筷子、勺子、碟子、水杯等；	10002159	厨房用具和餐具；餐具；服务或上菜餐具（非一次性）；服务、上菜托盘；
1130201	基本生活保障物资；日用品；家用制冷电器具；冰箱(柜)；	10003698	家用器具；大型家用器具；冷藏或冷冻器具；冰柜；
1130201	基本生活保障物资；日用品；家用制冷电器具；冰箱(柜)；	10003694	家用器具；大型家用器具；冷藏或冷冻器具；冰箱；
1130201	基本生活保障物资；日用品；家用制冷电器具；冰箱(柜)；	10003695	家用器具；大型家用器具；冷藏或冷冻器具；冰箱含冷冻柜；
1130303	基本生活保障物资；日用品；温度调节用品；电热毯；	10005197	家用或办公家具和陈设；家居用品、办公家具；家居用品、床上用品、办公家具；毯子、床罩（动力）；
1130501	基本生活保障物资；日用品；简易床；折叠床；	10002209	家用或办公家具和陈设；家用或办公家具；家用床和床垫；家用可调节床（无动力）；
1130501	基本生活保障物资；日用品；简易床；折叠床；	10002208	家用或办公家具和陈设；家用或办公家具；家用床和床垫；家用可调节床（动力）；
1130502	基本生活保障物资；日用品；简易床；气垫床；	10002211	家用或办公家具和陈设；家用或办公家具；家用床和床垫；家用充气床及水床；
1130504	基本生活保障物资；日用品；简易床；婴儿床；包括婴儿围栏及其附件；	10000790	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；婴儿围栏床床垫；
1130505	基本生活保障物资；日用品；简易床；婴儿床；包括婴儿围栏及其附件；	10000789	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；婴儿围栏床、摇篮；
1130506	基本生活保障物资；日用品；简易床；婴儿床；包括婴儿围栏及其附件；	10006808	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；其他家用婴儿床、床垫；
1130507	基本生活保障物资；日用品；简易床；婴儿床；包括婴儿围栏及其附件；	10006807	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；家用婴儿床、床垫-替换件；
1130508	基本生活保障物资；日用品；简易床；婴儿床；包括婴儿围栏及其附件；	10006806	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；家用婴儿床、床垫组合装；
1130505	基本生活保障物资；日用品；简易床；婴儿保温箱；	10006808	家用或办公家具和陈设；婴儿用品；家用婴儿床和床垫；其他家用婴儿床、床垫；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000369	美容、个人护理和卫生用品；头发用品；脱毛和发膜产品；剃须刀片；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000370	美容、个人护理和卫生用品；头发用品；脱毛和发膜产品；一次性剃须刀（无动力）；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000730	美容、个人护理和卫生用品；头发用品；脱毛和发膜产品；非一次性剃须刀（无动力）；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000831	美容、个人护理和卫生用品；头发用品；脱毛和发膜产品；剃须刀（动力）；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000375	美容、个人护理和卫生用品；个人卫生用品；通用个人卫生用品；卫生纸；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10008369	美容、个人护理和卫生用品；个人卫生用品；口腔卫生用品；口气清新剂 ；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000383	美容、个人护理和卫生用品；个人卫生用品；口腔卫生用品；牙齿清洁用品、牙膏；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10008377	美容、个人护理和卫生用品；个人卫生用品；口腔卫生用品；牙线、牙线带 ；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10008372	美容、个人护理和卫生用品；个人卫生用品；口腔卫生用品；牙刷(无动力) ；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10008373	美容、个人护理和卫生用品；个人卫生用品；口腔卫生用品；牙刷(动力) ；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000328	美容、个人护理和卫生用品；护肤用品；沐浴用品；浴液添加剂；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000813	美容、个人护理和卫生用品；护肤用品；沐浴用品；其他沐浴产品；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000722	美容、个人护理和卫生用品；护肤用品；沐浴用品；沐浴产品组合装；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000334	美容、个人护理和卫生用品；护肤用品；沐浴用品；个人清洁或洗涤附件；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000330	美容、个人护理和卫生用品；护肤用品；沐浴用品；身体清洁或洗涤香皂；
1130801	基本生活保障物资；日用品；卫生清洁用品；个人卫生清洁用品；包括指甲刀、剃须刀、理发器、毛巾、牙膏、牙刷、沐浴液、洗发水、香皂/肥皂、洗衣粉、卫生纸等个人卫生清洁用品；	10000332	美容、个人护理和卫生用品；护肤用品；护肤品；清洁剂或卸妆用品（无动力）；
